date,treatment,sample,weight_g,size_cm
22/10/2016,TTTM,TTTM19,6.1568,2.8795
22/10/2016,TTTM,TTTM20,15.6139,4.0675
22/10/2016,TTTA,TTTA1,8.0122,2.997
22/10/2016,TTTA,TTTA2,11.4113,3.3735
22/10/2016,TTTA,TTTA3,3.7608,2.4005
22/10/2016,TTTA,TTTA4,12.7288,3.6085
22/10/2016,TTTA,TTTA5,14.1838,3.8155
22/10/2016,TTTA,TTTA6,5.3518,2.765
22/10/2016,TTTA,TTTA7,12.5983,3.546
22/10/2016,TTTA,TTTA8,10.1565,3.471
22/10/2016,TTTA,TTTA9,5.4365,2.655
22/10/2016,TTTA,TTTA10,15.522,3.985
22/10/2016,TTTA,TTTA11,12.5028,3.5105
22/10/2016,TTTA,TTTA12,14.2297,3.667
22/10/2016,TTTA,TTTA13,8.8084,3.197
22/10/2016,TTTA,TTTA14,10.6935,3.46
22/10/2016,TTTA,TTTA15,7.4932,3.0125
22/10/2016,TTTA,TTTA16,7.419,2.7395
22/10/2016,TTTA,TTTA17,6.4729,2.6025
22/10/2016,TTTA,TTTA18,10.5107,3.2125
22/10/2016,TTTA,TTTA19,8.8165,3.1775
22/10/2016,TTTA,TTTA20,8.8659,3.0565
31/10/2016,TC,TC1,12.1894,3.238
31/10/2016,TC,TC2,8.6287,2.862
31/10/2016,TC,TC3,10.0577,3.092
31/10/2016,TC,TC4,8.4677,2.869
31/10/2016,TC,TC5,10.9415,3.2695
31/10/2016,TC,TC6,9.8625,3.084
31/10/2016,TC,TC7,8.2274,2.8395
31/10/2016,TC,TC8,5.2326,2.4125
31/10/2016,TC,TC9,12.9768,3.42
31/10/2016,TC,TC10,7.2797,2.8635
31/10/2016,TC,TC11,4.727,2.399
31/10/2016,TC,TC12,14.8667,3.7015
31/10/2016,TC,TC13,5.3287,2.5115
31/10/2016,TC,TC14,6.5075,2.765
31/10/2016,TC,TC15,14.1594,3.782
31/10/2016,TC,TC16,11.3107,3.261
31/10/2016,TC,TC17,14.1512,3.428
31/10/2016,TC,TC18,13.519,3.349
31/10/2016,TC,TC19,3.9214,2.3135
31/10/2016,TC,TC20,10.4273,3.313
31/10/2016,TM,TM1,8.7805,3.195
31/10/2016,TM,TM2,9.2222,3.128
31/10/2016,TM,TM3,5.9051,2.6205
31/10/2016,TM,TM4,17.8605,4.1085
31/10/2016,TM,TM5,4.8123,2.64
31/10/2016,TM,TM6,11.0018,3.3095
31/10/2016,TM,TM7,10.5302,3.353
31/10/2016,TM,TM8,14.1157,3.6285
31/10/2016,TM,TM9,13.1332,3.4915
31/10/2016,TM,TM10,8.2026,3.1375
31/10/2016,TM,TM11,4.7596,2.3755
31/10/2016,TM,TM12,8.9073,3.008
31/10/2016,TM,TM13,9.4622,3.09
31/10/2016,TM,TM14,14.1662,3.5705
31/10/2016,TM,TM15,9.9048,3.387
31/10/2016,TM,TM16,8.6685,3.109
31/10/2016,TM,TM17,13.6531,3.539
31/10/2016,TM,TM18,11.2756,3.273
31/10/2016,TM,TM19,9.7578,3.1945
31/10/2016,TM,TM20,10.9258,3.419
31/10/2016,TA,TA1,9.8299,3.066
31/10/2016,TA,TA2,13.65,3.497
31/10/2016,TA,TA3,7.2303,2.707
31/10/2016,TA,TA4,13.2628,3.641
31/10/2016,TA,TA5,10.3612,3.36
31/10/2016,TA,TA6,14.0192,3.593
31/10/2016,TA,TA7,11.6061,3.383
31/10/2016,TA,TA8,5.5483,2.5725
31/10/2016,TA,TA9,15.3427,3.781
31/10/2016,TA,TA10,8.177,3.011
31/10/2016,TA,TA11,9.86,3.259
31/10/2016,TA,TA12,13.6534,3.5875
31/10/2016,TA,TA13,7.0336,2.921
31/10/2016,TA,TA14,8.8911,3.2295
31/10/2016,TA,TA15,21.9144,4.544
31/10/2016,TA,TA16,11.7959,3.3685
31/10/2016,TA,TA17,10.6718,3.099
31/10/2016,TA,TA18,12.7479,3.3545
31/10/2016,TA,TA19,14.4192,3.5615
31/10/2016,TA,TA20,9.788,3.3105
31/10/2016,TTC,TTC1,9.3961,3.087
31/10/2016,TTC,TTC2,16.5064,3.725
31/10/2016,TTC,TTC3,9.4074,3.019
31/10/2016,TTC,TTC4,17.365,3.8705
31/10/2016,TTC,TTC5,10.0147,3.426
31/10/2016,TTC,TTC6,5.8108,2.665
31/10/2016,TTC,TTC7,13.8797,3.584
31/10/2016,TTC,TTC8,11.7078,3.565
31/10/2016,TTC,TTC9,9.1698,3.3805
31/10/2016,TTC,TTC10,DEAD,DEAD
31/10/2016,TTC,TTC11,10.0505,3.1895
31/10/2016,TTC,TTC12,9.351,3.242
31/10/2016,TTC,TTC13,13.1466,3.3895
31/10/2016,TTC,TTC14,8.1887,3.078
31/10/2016,TTC,TTC15,10.7138,3.5695
31/10/2016,TTC,TTC16,9.4097,2.916
31/10/2016,TTC,TTC17,13.2603,3.2925
31/10/2016,TTC,TTC18,11.1816,2.935
31/10/2016,TTC,TTC19,12.061,3.156
31/10/2016,TTC,TTC20,18.8495,3.9745
31/10/2016,TTM,TTM1,12.0964,3.254
31/10/2016,TTM,TTM2,11.4278,3.028
31/10/2016,TTM,TTM3,19.8001,3.674
31/10/2016,TTM,TTM4,18.692,3.79
31/10/2016,TTM,TTM5,8.8436,3.006
31/10/2016,TTM,TTM6,7.1287,2.598
31/10/2016,TTM,TTM7,12.7594,3.1725
31/10/2016,TTM,TTM8,7.9063,2.717
31/10/2016,TTM,TTM9,9.3389,2.9715
31/10/2016,TTM,TTM10,10.3769,3.201
31/10/2016,TTM,TTM11,9.9634,2.867
31/10/2016,TTM,TTM12,8.8511,2.945
31/10/2016,TTM,TTM13,15.374,3.5035
31/10/2016,TTM,TTM14,13.1445,3.358
31/10/2016,TTM,TTM15,8.7315,3.126
31/10/2016,TTM,TTM16,5.6333,2.5255
31/10/2016,TTM,TTM17,16.9497,3.7725
31/10/2016,TTM,TTM18,12.3303,3.3525
31/10/2016,TTM,TTM19,12.9293,3.4905
31/10/2016,TTM,TTM20,13.4879,3.6625
31/10/2016,TTA,TTA1,6.9964,2.8205
31/10/2016,TTA,TTA2,6.5964,2.792
31/10/2016,TTA,TTA3,9.5796,3.1515
31/10/2016,TTA,TTA4,9.8964,3.3175
31/10/2016,TTA,TTA5,8.5837,3.3735
31/10/2016,TTA,TTA6,11.3458,3.2705
31/10/2016,TTA,TTA7,11.0748,3.2205
31/10/2016,TTA,TTA8,17.3737,3.7015
31/10/2016,TTA,TTA9,4.6541,2.3925
31/10/2016,TTA,TTA10,8.4032,2.9865
31/10/2016,TTA,TTA11,11.2728,3.336
31/10/2016,TTA,TTA12,7.8731,2.892
31/10/2016,TTA,TTA13,12.0456,3.3105
31/10/2016,TTA,TTA14,10.415,3.254
31/10/2016,TTA,TTA15,10.4145,3.3235
31/10/2016,TTA,TTA16,15.1749,3.4625
31/10/2016,TTA,TTA17,13.3063,3.1985
31/10/2016,TTA,TTA18,DEAD,DEAD
31/10/2016,TTA,TTA19,9.1849,3.0285
31/10/2016,TTA,TTA20,9.5863,3.16
31/10/2016,TTTC,TTTC1,9.6693,3.066
31/10/2016,TTTC,TTTC2,5.4906,2.526
31/10/2016,TTTC,TTTC3,7.5859,2.868
31/10/2016,TTTC,TTTC4,6.9439,2.784
31/10/2016,TTTC,TTTC5,16.7839,4.0555
31/10/2016,TTTC,TTTC6,13.087,3.3665
31/10/2016,TTTC,TTTC7,7.675,2.738
31/10/2016,TTTC,TTTC8,9.1619,2.9315
31/10/2016,TTTC,TTTC9,9.237,2.961
31/10/2016,TTTC,TTTC10,14.1933,3.666
31/10/2016,TTTC,TTTC11,10.5621,3.2785
31/10/2016,TTTC,TTTC12,10.9683,3.4095
31/10/2016,TTTC,TTTC13,5.4762,2.595
31/10/2016,TTTC,TTTC14,11.2105,3.523
31/10/2016,TTTC,TTTC15,7.7636,3.152
31/10/2016,TTTC,TTTC16,13.2658,3.3495
31/10/2016,TTTC,TTTC17,8.7361,2.882
31/10/2016,TTTC,TTTC18,7.7805,2.808
31/10/2016,TTTC,TTTC19,10.3288,2.983
31/10/2016,TTTC,TTTC20,5.7368,2.8035
31/10/2016,TTTM,TTTM1,12.3631,3.5565
31/10/2016,TTTM,TTTM2,9.7049,3.1475
31/10/2016,TTTM,TTTM3,6.4041,2.6895
31/10/2016,TTTM,TTTM4,8.3676,3.041
31/10/2016,TTTM,TTTM5,6.2823,2.91
31/10/2016,TTTM,TTTM6,14.376,3.457
31/10/2016,TTTM,TTTM7,14.576,3.5745
31/10/2016,TTTM,TTTM8,8.1594,2.846
31/10/2016,TTTM,TTTM9,11.549,3.378
31/10/2016,TTTM,TTTM10,6.6151,2.8595
31/10/2016,TTTM,TTTM11,13.8921,3.296
31/10/2016,TTTM,TTTM12,7.8031,2.6285
31/10/2016,TTTM,TTTM13,9.8471,2.8805
31/10/2016,TTTM,TTTM14,17.5234,3.739
31/10/2016,TTTM,TTTM15,12.4207,3.3345
31/10/2016,TTTM,TTTM16,14.612,3.3505
31/10/2016,TTTM,TTTM17,11.7599,3.125
31/10/2016,TTTM,TTTM18,19.743,3.749
31/10/2016,TTTM,TTTM19,DEAD,2.613
31/10/2016,TTTM,TTTM20,15.8784,3.934
31/10/2016,TTTA,TTTA1,9.2229,3.15
31/10/2016,TTTA,TTTA2,12.0864,3.494
31/10/2016,TTTA,TTTA3,5.0009,2.507
31/10/2016,TTTA,TTTA4,12.9762,3.6625
31/10/2016,TTTA,TTTA5,19.6615,4.333
31/10/2016,TTTA,TTTA6,6.6353,2.659
31/10/2016,TTTA,TTTA7,17.286,3.829
31/10/2016,TTTA,TTTA8,12.3423,3.5525
31/10/2016,TTTA,TTTA9,6.7596,2.8725
31/10/2016,TTTA,TTTA10,DEAD,DEAD
31/10/2016,TTTA,TTTA11,15.3251,3.572
31/10/2016,TTTA,TTTA12,17.2775,3.7535
31/10/2016,TTTA,TTTA13,9.2475,3.0355
31/10/2016,TTTA,TTTA14,10.6437,3.219
31/10/2016,TTTA,TTTA15,9.7043,3.3295
31/10/2016,TTTA,TTTA16,9.6393,3.134
31/10/2016,TTTA,TTTA17,10.3009,3.1215
31/10/2016,TTTA,TTTA18,13.0875,3.446
31/10/2016,TTTA,TTTA19,11.8127,3.2905
31/10/2016,TTTA,TTTA20,13.8268,3.7695
06/11/2016,TC,TC1,16.3197,3.831
06/11/2016,TC,TC2,10.8415,3.3165
06/11/2016,TC,TC3,13.4192,3.5235
06/11/2016,TC,TC4,9.9767,3.2545
06/11/2016,TC,TC5,11.3393,3.6255
06/11/2016,TC,TC6,11.6082,3.3175
06/11/2016,TC,TC7,10.9927,3.1195
06/11/2016,TC,TC8,7.9459,2.6965
06/11/2016,TC,TC9,16.9667,3.7065
06/11/2016,TC,TC10,9.855,3.157
06/11/2016,TC,TC11,7.371,2.7385
06/11/2016,TC,TC12,20.6682,4.067
06/11/2016,TC,TC13,6.4004,2.54
06/11/2016,TC,TC14,9.2298,2.9315
06/11/2016,TC,TC15,20.0657,3.7795
06/11/2016,TC,TC16,16.7901,3.7105
06/11/2016,TC,TC17,18.9584,3.8135
06/11/2016,TC,TC18,17.2209,3.6455
06/11/2016,TC,TC19,5.514,2.5245
06/11/2016,TC,TC20,14.13,3.5705
06/11/2016,TM,TM1,10.273,3.1135
06/11/2016,TM,TM2,11.7441,3.2315
06/11/2016,TM,TM3,7.4365,2.6995
06/11/2016,TM,TM4,21.9441,4.208
06/11/2016,TM,TM5,6.3482,2.8465
06/11/2016,TM,TM6,16.278,3.4975
06/11/2016,TM,TM7,13.3458,3.2815
06/11/2016,TM,TM8,18.1348,3.5955
06/11/2016,TM,TM9,16.3632,3.5265
06/11/2016,TM,TM10,10.0135,3.0325
06/11/2016,TM,TM11,6.2513,2.6895
06/11/2016,TM,TM12,10.063,3.111
06/11/2016,TM,TM13,10.976,3.3035
06/11/2016,TM,TM14,18.735,3.831
06/11/2016,TM,TM15,12.1215,3.3125
06/11/2016,TM,TM16,10.6402,3.1565
06/11/2016,TM,TM17,18.4765,3.836
06/11/2016,TM,TM18,13.4642,3.327
06/11/2016,TM,TM19,12.0539,3.3445
06/11/2016,TM,TM20,14.29,3.5545
06/11/2016,TA,TA1,12.5361,3.479
06/11/2016,TA,TA2,15.155,3.605
06/11/2016,TA,TA3,8.717,2.864
06/11/2016,TA,TA4,13.2576,3.432
06/11/2016,TA,TA5,12.5059,3.436
06/11/2016,TA,TA6,17.1328,3.849
06/11/2016,TA,TA7,17.1391,3.769
06/11/2016,TA,TA8,7.1114,2.645
06/11/2016,TA,TA9,19.0235,3.9525
06/11/2016,TA,TA10,12.0917,3.3385
06/11/2016,TA,TA11,13.2981,3.3635
06/11/2016,TA,TA12,19.0333,3.748
06/11/2016,TA,TA13,9.5515,2.9485
06/11/2016,TA,TA14,10.6516,3.104
06/11/2016,TA,TA15,26.135,4.452
06/11/2016,TA,TA16,13.86,3.3335
06/11/2016,TA,TA17,14.7441,3.41
06/11/2016,TA,TA18,14.0727,3.28
06/11/2016,TA,TA19,17.059,3.791
06/11/2016,TA,TA20,12.146,3.3855
